date,et0,et0p
01-01-2021,8.7,100
02-01-2021,8,100
03-01-2021,9,100
04-01-2021,8.9,100
05-01-2021,8.6,100
06-01-2021,8.5,100
07-01-2021,8.6,100
08-01-2021,8.2,100
09-01-2021,6.4,100
10-01-2021,8.1,100
11-01-2021,7.9,100
12-01-2021,8.5,100
13-01-2021,9.1,100
14-01-2021,8.8,100
15-01-2021,8.9,100
16-01-2021,8.6,100
17-01-2021,9.2,100
18-01-2021,8.6,100
19-01-2021,8.2,100
20-01-2021,8.1,100
21-01-2021,7.3,100
22-01-2021,7.4,100
23-01-2021,7.6,100
24-01-2021,7.9,100
25-01-2021,8,100
26-01-2021,8.9,100
27-01-2021,8.4,100
28-01-2021,7.7,100
29-01-2021,3.1,100
30-01-2021,3.5,100
31-01-2021,5,100
01-02-2021,5,100
02-02-2021,5.7,100
03-02-2021,7.8,100
04-02-2021,8.1,100
05-02-2021,5.1,100
06-02-2021,3.8,100
07-02-2021,5.1,100
08-02-2021,6.5,100
09-02-2021,7.7,100
10-02-2021,7,100
11-02-2021,3.8,100
12-02-2021,5,100
13-02-2021,4.4,100
14-02-2021,5.3,100
15-02-2021,4.9,100
16-02-2021,3.1,100
17-02-2021,6.1,100
18-02-2021,6.3,100
19-02-2021,6.8,100
20-02-2021,7.1,100
21-02-2021,7,100
22-02-2021,7.5,100
23-02-2021,7.9,100
24-02-2021,6.9,100
25-02-2021,6.4,100
26-02-2021,6.8,100
27-02-2021,7.3,100
28-02-2021,8,100
01-03-2021,5.5,100
02-03-2021,6.1,100
03-03-2021,7,100
04-03-2021,7.3,100
05-03-2021,5.9,100
06-03-2021,5.9,100
07-03-2021,6.6,100
08-03-2021,8.2,100
09-03-2021,7.1,100
10-03-2021,5.5,100
11-03-2021,5.2,100
12-03-2021,6.4,100
13-03-2021,6,100
14-03-2021,5.9,100
15-03-2021,2.3,100
16-03-2021,3.8,100
17-03-2021,4.6,100
18-03-2021,2.7,100
19-03-2021,3.6,100
20-03-2021,5.1,100
21-03-2021,4.9,100
22-03-2021,5.7,100
23-03-2021,5.4,100
24-03-2021,5,100
25-03-2021,4.4,100
26-03-2021,5,100
27-03-2021,6,100
28-03-2021,5.7,100
29-03-2021,3.8,100
30-03-2021,4.2,100
31-03-2021,4.2,100
01-04-2021,3.3,100
02-04-2021,3.7,100
03-04-2021,5.2,100
04-04-2021,2.9,100
05-04-2021,3.6,100
06-04-2021,4,100
07-04-2021,4.1,100
08-04-2021,4.3,100
09-04-2021,3.9,100
10-04-2021,4.1,100
11-04-2021,4.8,100
12-04-2021,5,100
13-04-2021,5.7,100
14-04-2021,4.4,100
15-04-2021,4,100
16-04-2021,4.5,100
17-04-2021,2.9,100
18-04-2021,3.3,100
19-04-2021,2.9,100
20-04-2021,2.9,100
21-04-2021,4.9,100
22-04-2021,2.9,100
23-04-2021,1.1,100
24-04-2021,3.3,100
25-04-2021,3.5,100
26-04-2021,3.5,100
27-04-2021,3,100
28-04-2021,3.9,100
29-04-2021,3.1,100
30-04-2021,1.3,100
01-05-2021,1.9,100
02-05-2021,2.5,100
03-05-2021,2.7,100
04-05-2021,1.93,100
05-05-2021,2.51,100
06-05-2021,3.41,100
07-05-2021,2.8,100
08-05-2021,1.59,100
09-05-2021,2.21,100
10-05-2021,2.86,100
11-05-2021,2.71,100
12-05-2021,3.64,100
13-05-2021,1.99,100
14-05-2021,,
15-05-2021,1.64,100
16-05-2021,2.21,100
17-05-2021,4.24,100
18-05-2021,0.91,100
19-05-2021,1.57,100
20-05-2021,1.32,100
21-05-2021,1.47,100
22-05-2021,1.59,100
23-05-2021,1.68,100
24-05-2021,2.34,100
25-05-2021,2.53,100
26-05-2021,1.78,100
27-05-2021,2.78,100
28-05-2021,2.08,100
29-05-2021,1.02,100
30-05-2021,2.13,100
31-05-2021,2.76,100
01-06-2021,2.33,100
02-06-2021,2.58,100
03-06-2021,2.4,100
04-06-2021,1.35,100
05-06-2021,1.88,100
06-06-2021,1.82,100
07-06-2021,2.48,100
08-06-2021,2.09,100
09-06-2021,1.66,100
10-06-2021,1.69,100
11-06-2021,2.36,100
12-06-2021,3.28,100
13-06-2021,1.87,100
14-06-2021,2.44,100
15-06-2021,1.13,100
16-06-2021,1.8,100
17-06-2021,1.47,100
18-06-2021,1.28,100
19-06-2021,1.12,100
20-06-2021,0.98,100
21-06-2021,1.54,100
22-06-2021,2.15,100
23-06-2021,0.7,100
24-06-2021,0.71,100
25-06-2021,0.72,100
26-06-2021,1.22,100
27-06-2021,1.07,100
28-06-2021,1.6,100
29-06-2021,1.46,100
30-06-2021,1.74,100
01-07-2021,1.69,100
02-07-2021,1.76,100
03-07-2021,1.75,100
04-07-2021,1.86,100
05-07-2021,3.12,100
06-07-2021,1.35,100
07-07-2021,2.28,100
08-07-2021,2.55,100
09-07-2021,1.22,100
10-07-2021,1.51,100
11-07-2021,2.71,100
12-07-2021,0.82,100
13-07-2021,1.01,100
14-07-2021,1.22,100
15-07-2021,1.99,100
16-07-2021,1.94,100
17-07-2021,1.37,100
18-07-2021,2.27,100
19-07-2021,3.17,100
20-07-2021,2.85,100
21-07-2021,3.38,100
22-07-2021,2.88,100
23-07-2021,3.09,100
24-07-2021,0.94,100
25-07-2021,2.12,100
26-07-2021,1.61,100
27-07-2021,1.92,100
28-07-2021,2.62,100
29-07-2021,2.99,100
30-07-2021,3.25,100
31-07-2021,2.7,100
01-08-2021,3.81,100
02-08-2021,3.68,100
03-08-2021,3.17,100
04-08-2021,2.87,100
05-08-2021,1.86,100
06-08-2021,2.37,100
07-08-2021,0.76,100
08-08-2021,1.61,100
09-08-2021,1.9,100
10-08-2021,2.26,100
11-08-2021,3.16,100
12-08-2021,1.42,100
13-08-2021,1.97,100
14-08-2021,2.97,100
15-08-2021,1.44,100
16-08-2021,2.42,100
17-08-2021,2.61,100
18-08-2021,1.23,100
19-08-2021,2.08,100
20-08-2021,1.29,100
21-08-2021,2.53,100
22-08-2021,2.72,100
23-08-2021,2.18,100
24-08-2021,2.43,100
25-08-2021,2.47,100
26-08-2021,2.53,100
27-08-2021,1.79,100
28-08-2021,3.31,100
29-08-2021,4.73,100
30-08-2021,1.6,100
31-08-2021,2.45,100
01-09-2021,2.12,100
02-09-2021,3.44,100
03-09-2021,1.41,100
04-09-2021,3.93,100
05-09-2021,3.57,100
06-09-2021,2.55,100
07-09-2021,2.67,100
08-09-2021,3.2,100
09-09-2021,3.42,100
10-09-2021,4.63,100
11-09-2021,2.16,100
12-09-2021,2.69,100
13-09-2021,2.22,100
14-09-2021,4,100
15-09-2021,4.41,100
16-09-2021,5.2,100
17-09-2021,4.27,100
18-09-2021,3.62,100
19-09-2021,3.07,100
20-09-2021,4.07,100
21-09-2021,4.16,100
22-09-2021,4.16,100
23-09-2021,5.45,100
24-09-2021,8.13,100
25-09-2021,4.2,100
26-09-2021,4.79,100
27-09-2021,5.21,100
28-09-2021,6.22,100
29-09-2021,5.73,100
30-09-2021,5.04,100
01-10-2021,5.21,100
02-10-2021,4.42,100
03-10-2021,5.32,100
04-10-2021,5.76,100
05-10-2021,5.24,100
06-10-2021,6.04,100
07-10-2021,5.53,100
08-10-2021,2.8,100
09-10-2021,4.84,100
10-10-2021,4.79,100
11-10-2021,6.89,100
12-10-2021,3.8,100
13-10-2021,4.84,100
14-10-2021,3.18,100
15-10-2021,5.22,100
16-10-2021,6.04,100
17-10-2021,6.17,100
18-10-2021,7.6,100
19-10-2021,7.7,100
20-10-2021,3.21,100
21-10-2021,5.01,100
22-10-2021,5.05,100
23-10-2021,5.97,100
24-10-2021,7.6,100
25-10-2021,8.51,100
26-10-2021,7.44,100
27-10-2021,6.21,100
28-10-2021,8.09,100
29-10-2021,8.23,100
30-10-2021,9.03,100
31-10-2021,6.3,100
01-11-2021,5.03,100
02-11-2021,7.44,100
03-11-2021,5.99,100
04-11-2021,4.87,100
05-11-2021,7.19,100
06-11-2021,7.09,100
07-11-2021,7.48,100
08-11-2021,8.02,100
09-11-2021,6.65,100
10-11-2021,5.67,100
11-11-2021,6.57,100
12-11-2021,6.59,100
13-11-2021,6.4,100
14-11-2021,8.1,100
15-11-2021,7.63,100
16-11-2021,8.16,100
17-11-2021,8.54,100
18-11-2021,8.37,100
19-11-2021,7.78,100
20-11-2021,7.97,100
21-11-2021,8.83,100
22-11-2021,9.51,100
23-11-2021,7.32,100
24-11-2021,5.37,100
25-11-2021,8.69,100
26-11-2021,7.35,100
27-11-2021,6.01,100
28-11-2021,8.01,100
29-11-2021,8.58,100
30-11-2021,6.96,100
01-12-2021,7.21,100
02-12-2021,7.42,100
03-12-2021,7.42,100
04-12-2021,8.76,100
05-12-2021,10.01,100
06-12-2021,5.85,100
07-12-2021,5.46,100
08-12-2021,8.36,100
09-12-2021,8.24,100
10-12-2021,6.13,100
11-12-2021,4.27,100
12-12-2021,6.3,100
13-12-2021,7.22,100
14-12-2021,7.16,100
15-12-2021,4.97,100
16-12-2021,4.99,100
17-12-2021,,
18-12-2021,5.22,100
19-12-2021,5.31,100
20-12-2021,5.32,100
21-12-2021,5.29,100
22-12-2021,5.33,100
23-12-2021,5.11,100
24-12-2021,5.25,100
25-12-2021,5.17,100
26-12-2021,4.85,100
27-12-2021,4.68,100
28-12-2021,5.16,100
29-12-2021,4.16,100
30-12-2021,5.17,100
31-12-2021,5.14,100
01-01-2022,4.93,100
02-01-2022,5.05,100
03-01-2022,5.17,100
04-01-2022,5.23,100
05-01-2022,5.12,100
06-01-2022,5.12,100
07-01-2022,5.27,100
08-01-2022,5.14,100
09-01-2022,4.51,100
10-01-2022,4.79,100
11-01-2022,4.94,100
12-01-2022,5.05,100
13-01-2022,4.9,100
14-01-2022,5,100
15-01-2022,5.05,100
16-01-2022,3.68,100
17-01-2022,3.41,100
18-01-2022,4.54,100
19-01-2022,4.57,100
20-01-2022,4.52,100
21-01-2022,4.61,100
22-01-2022,4.72,100
23-01-2022,4.93,100
24-01-2022,4.86,100
25-01-2022,4.88,100
26-01-2022,4.87,100
27-01-2022,4.73,100
28-01-2022,4.68,100
29-01-2022,4.62,100
30-01-2022,4.65,100
31-01-2022,4.72,100
01-02-2022,4.36,100
02-02-2022,4.65,100
03-02-2022,4.19,100
04-02-2022,4.59,100
05-02-2022,4.7,100
06-02-2022,4.68,100
07-02-2022,4.55,100
08-02-2022,4.6,100
09-02-2022,4.43,100
10-02-2022,4.16,100
11-02-2022,4.37,100
12-02-2022,4.2,100
13-02-2022,4.15,100
14-02-2022,4.3,100
15-02-2022,4.14,100
16-02-2022,4.39,100
17-02-2022,4.34,100
18-02-2022,4.02,100
19-02-2022,3.91,100
20-02-2022,3.47,100
21-02-2022,3.65,100
22-02-2022,3.55,100
23-02-2022,3.65,100
24-02-2022,5.11,100
25-02-2022,7.37,100
26-02-2022,7.84,100
27-02-2022,7.24,100
28-02-2022,7.97,100
01-03-2022,8.05,100
02-03-2022,7.73,100
03-03-2022,7.29,100
04-03-2022,7.03,100
05-03-2022,6.84,100
06-03-2022,6.25,100
07-03-2022,7.44,100
08-03-2022,6.59,100
09-03-2022,6.57,100
10-03-2022,6.93,100
11-03-2022,7.08,100
12-03-2022,6.28,100
13-03-2022,7.49,100
14-03-2022,7,100
15-03-2022,6.13,100
16-03-2022,4.37,100
17-03-2022,3.42,100
18-03-2022,5.82,100
19-03-2022,5.71,100
20-03-2022,6.81,100
21-03-2022,5.49,100
22-03-2022,6.17,100
23-03-2022,4.67,100
24-03-2022,5.91,100
25-03-2022,6.83,100
26-03-2022,4.83,100
27-03-2022,4.85,100
28-03-2022,5.64,100
29-03-2022,5.71,100
30-03-2022,5.9,100
31-03-2022,5.84,100
01-04-2022,6.42,100
02-04-2022,5.94,100
03-04-2022,4.47,100
04-04-2022,5.36,100
05-04-2022,6,100
06-04-2022,5.72,100
07-04-2022,5.34,100
08-04-2022,5.41,100
09-04-2022,4.21,100
10-04-2022,3.73,100
11-04-2022,3.68,100
12-04-2022,4.52,100
13-04-2022,5,100
14-04-2022,4.44,100
15-04-2022,1.95,100
16-04-2022,3.65,100
17-04-2022,4.12,100
18-04-2022,,
19-04-2022,3.48,100
20-04-2022,3.4,100
21-04-2022,2.37,100
22-04-2022,3.37,100
23-04-2022,3.78,100
24-04-2022,3.07,100
25-04-2022,3.83,100
26-04-2022,2.95,100
27-04-2022,1.33,100
28-04-2022,2.18,100
29-04-2022,3.35,100
30-04-2022,3.13,100
01-05-2022,2.96,100
02-05-2022,2.96,100
03-05-2022,3.57,100
04-05-2022,4.17,100
05-05-2022,1.25,100
06-05-2022,3.04,100
07-05-2022,3.56,100
08-05-2022,,
09-05-2022,2.47,100
10-05-2022,3.15,100
11-05-2022,2.39,100
12-05-2022,1.97,100
13-05-2022,2.85,100
14-05-2022,1.91,100
15-05-2022,3.2,100
16-05-2022,2.49,100
17-05-2022,2.68,100
18-05-2022,2.82,100
19-05-2022,2.07,100
20-05-2022,2.07,100
21-05-2022,2.25,100
22-05-2022,1.79,100
23-05-2022,2.74,100
24-05-2022,1.79,100
25-05-2022,2.22,100
26-05-2022,1.42,100
27-05-2022,0.83,100
28-05-2022,1.06,100
29-05-2022,1.88,100
30-05-2022,1.91,100
31-05-2022,1.95,100
01-06-2022,1.56,100
02-06-2022,1.07,100
03-06-2022,1.5,100
04-06-2022,1.41,100
