date,clouds,weather_condition
2021-01-01 09:00:00,0,Clear
2021-01-02 09:00:00,20,Clouds
2021-01-03 09:00:00,20,Clouds
2021-01-04 09:00:00,0,Clear
2021-01-05 09:00:00,0,Clear
2021-01-06 09:00:00,0,Clear
2021-01-07 09:00:00,0,Clear
2021-01-08 09:00:00,0,Clear
2021-01-09 09:00:00,40,Haze
2021-01-10 09:00:00,0,Clear
2021-01-11 09:00:00,0,Clear
2021-01-12 09:00:00,0,Clear
2021-01-13 09:00:00,0,Clear
2021-01-14 09:00:00,0,Clear
2021-01-15 09:00:00,0,Clear
2021-01-16 09:00:00,0,Clear
2021-01-17 09:00:00,0,Clear
2021-01-18 09:00:00,0,Clear
2021-01-19 09:00:00,0,Clear
2021-01-20 09:00:00,0,Clear
2021-01-21 09:00:00,0,Clear
2021-01-22 09:00:00,0,Clear
2021-01-23 09:00:00,0,Clear
2021-01-24 09:00:00,0,Clear
2021-01-25 09:00:00,0,Clear
2021-01-26 09:00:00,0,Clear
2021-01-27 09:00:00,0,Clear
2021-01-28 09:00:00,0,Clear
2021-01-29 09:00:00,100,Clouds
2021-01-30 09:00:00,75,Clouds
2021-01-31 09:00:00,75,Clouds
2021-02-01 09:00:00,100,Mist
2021-02-02 09:00:00,100,Mist
2021-02-03 09:00:00,0,Clear
2021-02-04 09:00:00,0,Clear
2021-02-05 09:00:00,100,Mist
2021-02-06 09:00:00,100,Drizzle
2021-02-07 09:00:00,100,Clouds
2021-02-08 09:00:00,0,Clear
2021-02-09 09:00:00,0,Clear
2021-02-10 09:00:00,3,Clear
2021-02-11 09:00:00,100,Mist
2021-02-12 09:00:00,100,Haze
2021-02-13 09:00:00,100,Mist
2021-02-14 09:00:00,100,Fog
2021-02-15 09:00:00,100,Mist
2021-02-16 09:00:00,100,Mist
2021-02-17 09:00:00,75,Clouds
2021-02-18 09:00:00,0,Clear
2021-02-19 09:00:00,0,Clear
2021-02-20 09:00:00,0,Clear
2021-02-21 09:00:00,0,Clear
2021-02-22 09:00:00,0,Clear
2021-02-23 09:00:00,0,Clear
2021-02-24 09:00:00,0,Clear
2021-02-25 09:00:00,0,Clear
2021-02-26 09:00:00,0,Clear
2021-02-27 09:00:00,0,Haze
2021-02-28 09:00:00,0,Smoke
2021-03-01 09:00:00,40,Clouds
2021-03-02 09:00:00,0,Clear
2021-03-03 09:00:00,0,Clear
2021-03-04 09:00:00,0,Clear
2021-03-05 09:00:00,0,Clear
2021-03-06 09:00:00,0,Clear
2021-03-07 09:00:00,0,Clear
2021-03-08 09:00:00,0,Clear
2021-03-09 09:00:00,0,Clear
2021-03-10 09:00:00,0,Clear
2021-03-11 09:00:00,75,Clouds
2021-03-12 09:00:00,75,Clouds
2021-03-13 09:00:00,0,Clear
2021-03-14 09:00:00,75,Fog
2021-03-15 09:00:00,100,Haze
2021-03-16 09:00:00,75,Clouds
2021-03-17 09:00:00,75,Clouds
2021-03-18 09:00:00,100,Mist
2021-03-19 09:00:00,100,Haze
2021-03-20 09:00:00,0,Smoke
2021-03-21 09:00:00,75,Clouds
2021-03-22 09:00:00,0,Clear
2021-03-23 09:00:00,0,Clear
2021-03-24 09:00:00,0,Smoke
2021-03-25 09:00:00,75,Mist
2021-03-26 09:00:00,0,Smoke
2021-03-27 09:00:00,0,Clear
2021-03-28 09:00:00,0,Smoke
2021-03-29 09:00:00,100,Fog
2021-03-30 09:00:00,0,Clear
2021-03-31 09:00:00,0,Smoke
2021-04-01 09:00:00,100,Fog
2021-04-02 09:00:00,20,Fog
2021-04-03 09:00:00,0,Smoke
2021-04-04 08:00:00,75,Clouds
2021-04-05 08:00:00,100,Haze
2021-04-06 08:00:00,0,Haze
2021-04-07 08:00:00,0,Smoke
2021-04-08 08:00:00,75,Clouds
2021-04-09 08:00:00,0,Clear
2021-04-10 08:00:00,20,Clouds
2021-04-11 08:00:00,0,Haze
2021-04-12 08:00:00,0,Clear
2021-04-13 08:00:00,0,Clear
2021-04-14 08:00:00,0,Smoke
2021-04-15 08:00:00,0,Smoke
2021-04-16 08:00:00,0,Haze
2021-04-17 08:00:00,100,Mist
2021-04-18 08:00:00,100,Mist
2021-04-19 08:00:00,0,Fog
2021-04-20 08:00:00,100,Haze
2021-04-21 08:00:00,75,Clouds
2021-04-22 08:00:00,75,Fog
2021-04-23 08:00:00,100,Mist
2021-04-24 08:00:00,0,Mist
2021-04-25 08:00:00,0,Mist
2021-04-26 08:00:00,0,Haze
2021-04-27 08:00:00,100,Fog
2021-04-28 08:00:00,0,Mist
2021-04-29 08:00:00,0,Haze
2021-04-30 08:00:00,100,Mist
2021-05-01 08:00:00,75,Mist
2021-05-02 08:00:00,100,Clouds
2021-05-03 08:00:00,75,Haze
2021-05-04 08:00:00,0,Clear
2021-05-05 08:00:00,0,Mist
2021-05-06 08:00:00,0,Clear
2021-05-07 08:00:00,75,Clouds
2021-05-08 08:00:00,75,Haze
2021-05-09 08:00:00,75,Smoke
2021-05-10 08:00:00,0,Haze
2021-05-11 08:00:00,0,Clear
2021-05-12 08:00:00,0,Smoke
2021-05-13 08:00:00,75,Clouds
2021-05-14 08:00:00,40,Haze
2021-05-15 08:00:00,75,Haze
2021-05-16 08:00:00,0,Haze
2021-05-17 08:00:00,97,Haze
2021-05-18 08:00:00,100,Mist
2021-05-19 08:00:00,75,Haze
2021-05-20 08:00:00,40,Mist
2021-05-21 08:00:00,75,Mist
2021-05-22 08:00:00,87,Fog
2021-05-23 08:00:00,10,Clear
2021-05-24 08:00:00,58,Clouds
2021-05-25 08:00:00,58,Haze
2021-05-26 08:00:00,58,Clouds
2021-05-27 08:00:00,46,Clouds
2021-05-28 08:00:00,70,Fog
2021-05-29 08:00:00,100,Mist
2021-05-30 08:00:00,40,Fog
2021-05-31 08:00:00,100,Clouds
2021-06-01 08:00:00,100,Clouds
2021-06-02 08:00:00,75,Smoke
2021-06-03 08:00:00,60,Haze
2021-06-04 08:00:00,100,Clouds
2021-06-05 08:00:00,100,Clouds
2021-06-06 08:00:00,75,Clouds
2021-06-07 08:00:00,75,Clouds
2021-06-08 08:00:00,54,Haze
2021-06-09 08:00:00,98,Clouds
2021-06-10 08:00:00,75,Mist
2021-06-11 08:00:00,59,Mist
2021-06-12 08:00:00,0,Clear
2021-06-13 08:00:00,60,Mist
2021-06-14 08:00:00,92,Haze
2021-06-15 08:00:00,100,Fog
2021-06-16 08:00:00,92,Mist
2021-06-17 08:00:00,87,Mist
2021-06-18 08:00:00,40,Fog
2021-06-19 08:00:00,100,Haze
2021-06-20 08:00:00,100,Mist
2021-06-21 08:00:00,88,Mist
2021-06-22 08:00:00,97,Clouds
2021-06-23 08:00:00,100,Clouds
2021-06-24 08:00:00,40,Fog
2021-06-25 08:00:00,100,Clouds
2021-06-26 08:00:00,75,Clouds
2021-06-27 08:00:00,100,Fog
2021-06-28 08:00:00,0,Haze
2021-06-29 08:00:00,99,Clouds
2021-06-30 08:00:00,98,Haze
2021-07-01 08:00:00,75,Mist
2021-07-02 08:00:00,88,Mist
2021-07-03 08:00:00,94,Clouds
2021-07-04 08:00:00,50,Fog
2021-07-05 08:00:00,57,Clouds
2021-07-06 08:00:00,100,Drizzle
2021-07-07 08:00:00,86,Mist
2021-07-08 08:00:00,61,Clouds
2021-07-09 08:00:00,20,Fog
2021-07-10 08:00:00,20,Fog
2021-07-11 08:00:00,97,Haze
2021-07-12 08:00:00,100,Fog
2021-07-13 08:00:00,40,Fog
2021-07-14 08:00:00,88,Fog
2021-07-15 08:00:00,82,Clouds
2021-07-16 08:00:00,20,Haze
2021-07-17 08:00:00,87,Mist
2021-07-18 08:00:00,0,Clear
2021-07-19 08:00:00,52,Clouds
2021-07-20 08:00:00,26,Clouds
2021-07-21 08:00:00,100,Clouds
2021-07-22 08:00:00,95,Clouds
2021-07-23 08:00:00,87,Mist
2021-07-24 08:00:00,100,Mist
2021-07-25 08:00:00,75,Mist
2021-07-26 08:00:00,75,Clouds
2021-07-27 08:00:00,58,Fog
2021-07-28 08:00:00,45,Clouds
2021-07-29 08:00:00,0,Clear
2021-07-30 08:00:00,58,Clouds
2021-07-31 08:00:00,81,Clouds
2021-08-01 08:00:00,58,Clouds
2021-08-02 08:00:00,17,Clouds
2021-08-03 08:00:00,58,Clouds
2021-08-04 08:00:00,52,Clouds
2021-08-05 08:00:00,100,Fog
2021-08-06 08:00:00,100,Fog
2021-08-07 08:00:00,100,Mist
2021-08-08 08:00:00,75,Haze
2021-08-09 08:00:00,75,Mist
2021-08-10 08:00:00,82,Mist
2021-08-11 08:00:00,58,Haze
2021-08-12 08:00:00,100,Fog
2021-08-13 08:00:00,100,Fog
2021-08-14 08:00:00,75,Haze
2021-08-15 08:00:00,100,Mist
2021-08-16 08:00:00,100,Mist
2021-08-17 08:00:00,75,Clouds
2021-08-18 08:00:00,75,Clouds
2021-08-19 08:00:00,75,Fog
2021-08-20 08:00:00,75,Clouds
2021-08-21 08:00:00,75,Clouds
2021-08-22 08:00:00,75,Clouds
2021-08-23 08:00:00,75,Clouds
2021-08-24 08:00:00,20,Fog
2021-08-25 08:00:00,75,Clouds
2021-08-26 08:00:00,94,Clouds
2021-08-27 08:00:00,75,Clouds
2021-08-28 08:00:00,75,Clouds
2021-08-29 08:00:00,58,Haze
2021-08-30 08:00:00,100,Mist
2021-08-31 08:00:00,100,Mist
2021-09-01 08:00:00,75,Mist
2021-09-02 08:00:00,100,Fog
2021-09-03 08:00:00,100,Drizzle
2021-09-04 08:00:00,75,Clouds
2021-09-05 09:00:00,62,Clouds
2021-09-06 09:00:00,75,Clouds
2021-09-07 09:00:00,75,Clouds
2021-09-08 09:00:00,87,Mist
2021-09-09 09:00:00,0,Clear
2021-09-10 09:00:00,40,Clouds
2021-09-11 09:00:00,100,Mist
2021-09-12 09:00:00,75,Clouds
2021-09-13 09:00:00,75,Clouds
2021-09-14 09:00:00,58,Haze
2021-09-15 09:00:00,87,Smoke
2021-09-16 09:00:00,58,Clouds
2021-09-17 09:00:00,0,Clear
2021-09-18 09:00:00,75,Fog
2021-09-19 09:00:00,100,Clouds
2021-09-20 09:00:00,20,Clouds
2021-09-21 09:00:00,22,Clouds
2021-09-22 09:00:00,75,Clouds
2021-09-23 09:00:00,58,Smoke
2021-09-24 09:00:00,0,Clear
2021-09-25 09:00:00,100,Clouds
2021-09-26 09:00:00,0,Clear
2021-09-27 09:00:00,5,Haze
2021-09-28 09:00:00,0,Clear
2021-09-29 09:00:00,71,Clouds
2021-09-30 09:00:00,0,Clear
2021-10-01 09:00:00,78,Clouds
2021-10-02 09:00:00,0,Clear
2021-10-03 09:00:00,0,Clear
2021-10-04 09:00:00,0,Clear
2021-10-05 09:00:00,0,Clear
2021-10-06 09:00:00,0,Clear
2021-10-07 09:00:00,0,Clear
2021-10-08 09:00:00,75,Rain
2021-10-09 09:00:00,1,Clear
2021-10-10 09:00:00,100,Clouds
2021-10-11 09:00:00,2,Clear
2021-10-12 09:00:00,100,Clouds
2021-10-13 09:00:00,75,Clouds
2021-10-14 09:00:00,100,Rain
2021-10-15 09:00:00,2,Clear
2021-10-16 09:00:00,0,Clear
2021-10-17 09:00:00,0,Clear
2021-10-18 09:00:00,0,Clear
2021-10-19 09:00:00,0,Clear
2021-10-20 09:00:00,100,Clouds
2021-10-21 09:00:00,100,Haze
2021-10-22 09:00:00,75,Clouds
2021-10-23 09:00:00,0,Clear
2021-10-24 09:00:00,0,Clear
2021-10-25 09:00:00,0,Clear
2021-10-26 09:00:00,0,Clear
2021-10-27 09:00:00,1,Clear
2021-10-28 09:00:00,0,Clear
2021-10-29 09:00:00,0,Clear
2021-10-30 09:00:00,0,Clear
2021-10-31 09:00:00,0,Clear
2021-11-01 09:00:00,75,Clouds
2021-11-02 09:00:00,1,Clear
2021-11-03 09:00:00,0,Clear
2021-11-04 09:00:00,100,Clouds
2021-11-05 09:00:00,0,Clear
2021-11-06 09:00:00,0,Clear
2021-11-07 09:00:00,0,Clear
2021-11-08 09:00:00,0,Clear
2021-11-09 09:00:00,0,Clear
2021-11-10 09:00:00,100,Clouds
2021-11-11 09:00:00,0,Clear
2021-11-12 09:00:00,0,Clear
2021-11-13 09:00:00,75,Clouds
2021-11-14 09:00:00,0,Clear
2021-11-15 09:00:00,0,Clear
2021-11-16 09:00:00,0,Clear
2021-11-17 09:00:00,0,Clear
2021-11-18 09:00:00,0,Clear
2021-11-19 09:00:00,0,Clear
2021-11-20 09:00:00,1,Clear
2021-11-21 09:00:00,0,Clear
2021-11-22 09:00:00,0,Clear
2021-11-23 09:00:00,0,Clear
2021-11-24 09:00:00,100,Clouds
2021-11-25 09:00:00,1,Clear
2021-11-26 09:00:00,0,Clear
2021-11-27 09:00:00,75,Clouds
2021-11-28 09:00:00,0,Clear
2021-11-29 09:00:00,0,Clear
2021-11-30 09:00:00,0,Clear
2021-12-01 09:00:00,40,Clouds
2021-12-02 09:00:00,21,Clouds
2021-12-03 09:00:00,0,Clear
2021-12-04 09:00:00,0,Clear
2021-12-05 09:00:00,0,Clear
2021-12-06 09:00:00,9,Clear
2021-12-07 09:00:00,75,Clouds
2021-12-08 09:00:00,0,Clear
2021-12-09 09:00:00,0,Clear
2021-12-10 09:00:00,0,Clear
2021-12-11 09:00:00,100,Mist
2021-12-12 09:00:00,75,Clouds
2021-12-13 09:00:00,0,Clear
2021-12-14 09:00:00,0,Clear
2021-12-15 09:00:00,0,Clear
2021-12-16 09:00:00,0,Clear
2021-12-17 09:00:00,0,Clear
2021-12-18 09:00:00,0,Clear
2021-12-19 09:00:00,0,Clear
2021-12-20 09:00:00,0,Clear
2021-12-21 09:00:00,0,Clear
2021-12-22 09:00:00,0,Clear
2021-12-23 09:00:00,40,Clouds
2021-12-24 09:00:00,0,Clear
2021-12-25 09:00:00,0,Clear
2021-12-26 09:00:00,0,Clear
2021-12-27 09:00:00,0,Clear
2021-12-28 09:00:00,0,Clear
2021-12-29 09:00:00,100,Clouds
2021-12-30 09:00:00,75,Clouds
2021-12-31 09:00:00,0,Clear
2022-01-01 09:00:00,0,Clear
2022-01-02 09:00:00,0,Clear
2022-01-03 09:00:00,0,Clear
2022-01-04 09:00:00,0,Clear
2022-01-05 09:00:00,0,Clear
2022-01-06 09:00:00,0,Clear
2022-01-07 09:00:00,0,Clear
2022-01-08 09:00:00,0,Clear
2022-01-09 09:00:00,40,Clouds
2022-01-10 09:00:00,40,Clouds
2022-01-11 09:00:00,0,Clear
2022-01-12 09:00:00,0,Clear
2022-01-13 09:00:00,20,Clouds
2022-01-14 09:00:00,0,Clear
2022-01-15 09:00:00,0,Clear
2022-01-16 09:00:00,100,Clouds
2022-01-17 09:00:00,100,Clouds
2022-01-18 09:00:00,0,Clear
2022-01-19 09:00:00,0,Clear
2022-01-20 09:00:00,20,Clouds
2022-01-21 09:00:00,0,Clear
2022-01-22 09:00:00,0,Clear
2022-01-23 09:00:00,0,Clear
2022-01-24 09:00:00,0,Clear
2022-01-25 09:00:00,0,Clear
2022-01-26 09:00:00,0,Clear
2022-01-27 09:00:00,0,Clear
2022-01-28 09:00:00,75,Clouds
2022-01-29 09:00:00,0,Clear
2022-01-30 09:00:00,20,Clouds
2022-01-31 09:00:00,0,Clear
2022-02-01 09:00:00,0,Clear
2022-02-02 09:00:00,0,Clear
2022-02-03 09:00:00,0,Clear
2022-02-04 09:00:00,0,Clear
2022-02-05 09:00:00,0,Clear
2022-02-06 09:00:00,0,Clear
2022-02-07 09:00:00,4,Clear
2022-02-08 09:00:00,0,Clear
2022-02-09 09:00:00,0,Clear
2022-02-10 09:00:00,75,Clouds
2022-02-11 09:00:00,75,Clouds
2022-02-12 09:00:00,4,Clear
2022-02-13 09:00:00,0,Clear
2022-02-14 09:00:00,0,Clear
2022-02-15 09:00:00,100,Mist
2022-02-16 09:00:00,0,Clear
2022-02-17 09:00:00,0,Clear
2022-02-18 09:00:00,0,Smoke
2022-02-19 09:00:00,0,Clear
2022-02-20 09:00:00,1,Clear
2022-02-21 09:00:00,0,Clear
2022-02-22 09:00:00,0,Clear
2022-02-23 09:00:00,75,Clouds
2022-02-24 09:00:00,0,Clear
2022-02-25 09:00:00,0,Smoke
2022-02-26 09:00:00,0,Clear
2022-02-27 09:00:00,0,Clear
2022-02-28 09:00:00,0,Clear
2022-03-01 09:00:00,0,Clear
2022-03-02 09:00:00,0,Clear
2022-03-03 09:00:00,0,Clear
2022-03-04 09:00:00,0,Clear
2022-03-05 09:00:00,75,Clouds
2022-03-06 09:00:00,40,Clouds
2022-03-07 09:00:00,0,Clear
2022-03-08 09:00:00,1,Clear
2022-03-09 09:00:00,0,Smoke
2022-03-10 09:00:00,0,Clear
2022-03-11 09:00:00,0,Clear
2022-03-12 09:00:00,20,Mist
2022-03-13 09:00:00,0,Smoke
2022-03-14 09:00:00,0,Smoke
2022-03-15 09:00:00,0,Clear
2022-03-16 09:00:00,100,Mist
2022-03-17 09:00:00,100,Clouds
2022-03-18 09:00:00,7,Clear
2022-03-19 09:00:00,0,Clear
2022-03-20 09:00:00,75,Clouds
2022-03-21 09:00:00,20,Smoke
2022-03-22 09:00:00,0,Clear
2022-03-23 09:00:00,0,Clear
2022-03-24 09:00:00,0,Clear
2022-03-25 09:00:00,0,Clear
2022-03-26 09:00:00,58,Clouds
2022-03-27 09:00:00,75,Clouds
2022-03-28 09:00:00,0,Clear
2022-03-29 09:00:00,0,Clear
2022-03-30 09:00:00,0,Clear
2022-03-31 09:00:00,0,Clear
2022-04-01 09:00:00,0,Clear
2022-04-02 09:00:00,0,Clear
2022-04-03 08:00:00,87,Clouds
2022-04-04 08:00:00,0,Clear
2022-04-05 08:00:00,0,Smoke
2022-04-06 08:00:00,0,Clear
2022-04-07 08:00:00,1,Clear
2022-04-08 08:00:00,6,Clear
2022-04-09 08:00:00,75,Fog
2022-04-10 08:00:00,0,Clear
2022-04-11 08:00:00,0,Clear
2022-04-12 08:00:00,40,Clouds
2022-04-13 08:00:00,0,Clear
2022-04-14 08:00:00,0,Clear
2022-04-15 08:00:00,100,Drizzle
2022-04-16 08:00:00,100,Mist
2022-04-17 08:00:00,88,Haze
2022-04-18 08:00:00,1,Mist
2022-04-19 08:00:00,75,Clouds
2022-04-20 08:00:00,11,Clouds
2022-04-21 08:00:00,75,Haze
2022-04-22 08:00:00,100,Clouds
2022-04-23 08:00:00,88,Clouds
2022-04-24 08:00:00,28,Clouds
2022-04-25 08:00:00,20,Clouds
2022-04-26 08:00:00,75,Clouds
2022-04-27 08:00:00,75,Mist
2022-04-28 08:00:00,20,Fog
2022-04-29 08:00:00,58,Fog
2022-04-30 08:00:00,58,Clouds
2022-05-01 08:00:00,58,Mist
2022-05-02 08:00:00,3,Clear
2022-05-03 08:00:00,0,Clear
2022-05-04 08:00:00,83,Clouds
2022-05-05 08:00:00,100,Fog
2022-05-06 08:00:00,100,Fog
2022-05-07 08:00:00,58,Mist
2022-05-08 08:00:00,100,Drizzle
2022-05-09 08:00:00,4,Mist
2022-05-10 08:00:00,59,Haze
2022-05-11 08:00:00,75,Haze
2022-05-12 08:00:00,75,Haze
2022-05-13 08:00:00,20,Mist
2022-05-14 08:00:00,75,Haze
2022-05-15 08:00:00,56,Clouds
2022-05-16 08:00:00,87,Mist
2022-05-17 08:00:00,87,Clouds
2022-05-18 08:00:00,37,Fog
2022-05-19 08:00:00,35,Mist
2022-05-20 08:00:00,100,Haze
2022-05-21 08:00:00,75,Fog
2022-05-22 08:00:00,75,Clouds
2022-05-23 08:00:00,100,Clouds
2022-05-24 08:00:00,75,Clouds
2022-05-25 08:00:00,20,Mist
2022-05-26 08:00:00,75,Fog
2022-05-27 08:00:00,75,Fog
2022-05-28 08:00:00,75,Mist
2022-05-29 08:00:00,20,Clouds
2022-05-30 08:00:00,59,Haze
2022-05-31 08:00:00,20,Smoke
2022-06-01 08:00:00,58,Haze
2022-06-02 08:00:00,75,Mist
2022-06-03 08:00:00,100,Haze
2022-06-04 08:00:00,75,Mist
2022-06-05 08:00:00,100,Clouds
2022-06-06 08:00:00,58,Mist
2022-06-07 08:00:00,75,Mist
2022-06-08 08:00:00,87,Fog
2022-06-09 08:00:00,100,Fog
2022-06-10 08:00:00,100,Fog
2022-06-11 08:00:00,58,Clouds
2022-06-12 08:00:00,100,Fog
2022-06-13 08:00:00,100,Fog
2022-06-14 08:00:00,100,Haze
2022-06-15 08:00:00,20,Fog
2022-06-16 08:00:00,75,Mist
2022-06-17 08:00:00,99,Mist
2022-06-18 08:00:00,100,Mist
2022-06-19 08:00:00,100,Haze
2022-06-20 08:00:00,75,Haze
2022-06-21 08:00:00,75,Mist
2022-06-22 08:00:00,75,Haze
2022-06-23 08:00:00,100,Clouds
2022-06-24 08:00:00,75,Clouds
2022-06-25 08:00:00,100,Mist
